<DATE>,<TIME>,<CLOSE>,<VOL>
240412,150000,2460.9,208
240412,160000,2470,551
240412,170000,2493,1036
240412,180000,2463.8,1067
240412,190000,2449,1225
240412,200000,2432.4,1198
240412,210000,2420,889
240412,220000,2422.9,474
240412,230000,2421.2,204
240415,90000,2424.6,402
240415,100000,2420.1,303
240415,110000,2418,192
240415,120000,2415.6,102
240415,130000,2422.5,61
240415,140000,2422.6,214
240415,150000,2421.9,149
240415,160000,2407.9,589
240415,170000,2408.4,1066
240415,180000,2407.4,272
240415,190000,2416.6,326
240415,200000,2422,451
240415,210000,2439,269
240415,220000,2449.7,533
240415,230000,2442.5,75
240416,90000,2433.8,258
240416,100000,2424.4,376
240416,110000,2428.6,182
240416,120000,2433.4,78
240416,130000,2433,79
240416,140000,2435.2,53
240416,150000,2437,134
240416,160000,2427.6,97
240416,170000,2441.4,382
240416,180000,2445,652
240416,190000,2457.4,377
240416,200000,2446.4,323
240416,210000,2453.7,161
240416,220000,2449.6,73
240416,230000,2445.9,103
240417,90000,2443,281
240417,100000,2445.1,76
240417,110000,2454.5,95
240417,120000,2452.5,88
240417,130000,2448.9,54
240417,140000,2447.9,44
240417,150000,2444.6,185
240417,160000,2452.2,277
240417,170000,2450.2,316
240417,180000,2449.9,320
240417,190000,2436.4,1237
240417,200000,2436.2,568
240417,210000,2437.2,298
240417,220000,2436,223
240417,230000,2434.3,71
240418,90000,2441.9,202
240418,100000,2439.3,180
240418,110000,2438.9,341
240418,120000,2440.1,77
240418,130000,2443.2,106
240418,140000,2440.7,93
240418,150000,2444.2,171
240418,160000,2438.5,646
240418,170000,2439.5,588
240418,180000,2439.8,328
240418,190000,2444,394
240418,200000,2440.6,249
240418,210000,2438.4,251
240418,220000,2440.1,368
240418,230000,2438.2,81
240419,90000,2448,195
240419,100000,2443,220
240419,110000,2442.6,238
240419,120000,2441.1,104
240419,130000,2442,74
240419,140000,2441,489
240419,150000,2443.1,105
240419,160000,2439.1,397
240419,170000,2444.2,438
240419,180000,2447.1,222
240419,190000,2453.6,148
240419,200000,2450,239
240419,210000,2453.6,98
240419,220000,2446,130
240419,230000,2449.4,88
240422,90000,2419.6,1592
240422,100000,2424,261
240422,110000,2424.3,226
240422,120000,2426.1,141
240422,130000,2423.7,99
240422,140000,2409.3,826
240422,150000,2406.3,689
240422,160000,2408.4,387
240422,170000,2410.7,305
240422,180000,2404.5,198
240422,190000,2396.7,421
240422,200000,2396,353
240422,210000,2396,201
240422,220000,2397.3,210
240422,230000,2394.4,66
240423,90000,2370.6,1559
240423,100000,2376.7,530
240423,110000,2371.8,197
240423,120000,2365.5,737
240423,130000,2372.6,246
240423,140000,2370.6,192
240423,150000,2377.9,256
240423,160000,2391.8,618
240423,170000,2383,852
240423,180000,2387.5,191
240423,190000,2392.5,445
240423,200000,2388.2,204
240423,210000,2385.7,59
240423,220000,2385.8,95
240423,230000,2386.1,48
240424,90000,2388,191
240424,100000,2383,147
240424,110000,2382.1,213
240424,120000,2382,352
240424,130000,2381.6,93
240424,140000,2380.8,87
240424,150000,2385.6,216
240424,160000,2384,474
240424,170000,2388.7,410
240424,180000,2389.7,380
240424,190000,2388.9,91
240424,200000,2386.8,164
240424,210000,2384.2,209
240424,220000,2383.2,148
240424,230000,2372.8,120
240425,90000,2385.8,188
240425,100000,2387.5,86
240425,110000,2385.9,375
240425,120000,2384.2,125
240425,130000,2387,60
240425,140000,2388.1,60
240425,150000,2389.7,221
240425,160000,2382.3,628
240425,170000,2391.8,1179
240425,180000,2387.6,154
240425,190000,2387.2,525
240425,200000,2390.3,42
240425,210000,2391,40
240425,220000,2388.9,134
240425,230000,2388.7,66
240426,90000,2396.2,370
240426,100000,2400.5,218
240426,110000,2403,338
240426,120000,2407,313
240426,130000,2404,176
240426,140000,2402.6,48
240426,150000,2401.8,194
240426,160000,2401.5,265
240426,170000,2396.5,478
240426,180000,2398.4,319
240426,190000,2397.2,132
240426,200000,2400.9,86
240426,210000,2402,45
240426,220000,2400.5,41
240426,230000,2399.9,17
240427,90000,2402.1,39
240427,100000,2400.1,35
240427,110000,2399.9,39
240427,120000,2399.3,19
240427,130000,2399.7,39
240427,140000,2400,25
240427,150000,2398.7,39
240427,160000,2398.3,133
240427,170000,2399,35
240427,180000,2398.9,24
240427,190000,2397.9,5
240427,200000,2398.5,7
240427,210000,2398.1,9
240427,220000,2398.1,7
240427,230000,2398.5,40
240429,90000,2390.7,298
240429,100000,2396.9,42
240429,110000,2398.5,34
240429,120000,2402.2,116
240429,130000,2401,40
240429,140000,2398,88
240429,150000,2394.2,57
240429,160000,2396,201
240429,170000,2396.6,173
240429,180000,2398.9,15
240429,190000,2402.7,322
240429,200000,2401.2,35
240429,210000,2399.5,35
240429,220000,2396.4,83
240429,230000,2398,3
240430,90000,2386.5,465
240430,100000,2381.7,299
240430,110000,2377,334
240430,120000,2380.1,119
240430,130000,2378.8,83
240430,140000,2374.3,511
240430,150000,2369,295
240430,160000,2370.4,449
240430,170000,2362,976
240430,180000,2364,214
240430,190000,2362.8,233
240430,200000,2360.7,363
240430,210000,2356.7,275
240430,220000,2355.3,316
240430,230000,2351.4,284
240502,90000,2368.8,984
240502,100000,2364.7,354
240502,110000,2357.8,579
240502,120000,2356,729
240502,130000,2352.8,303
240502,140000,2349.8,401
240502,150000,2345.2,433
240502,160000,2345,768
240502,170000,2353.8,249
240502,180000,2349.7,145
240502,190000,2348.3,65
240502,200000,2353.5,341
240502,210000,2354.8,229
240502,220000,2350.9,34
240502,230000,2349.5,43
240503,90000,2345.4,163
240503,100000,2342.5,99
240503,110000,2344.9,175
240503,120000,2343.5,162
240503,130000,2341,241
240503,140000,2339.6,213
240503,150000,2348.3,2409
240503,160000,2337.2,1670
240503,170000,2337.7,443
240503,180000,2340.1,336
240503,190000,2342.4,326
240503,200000,2346.8,105
240503,210000,2343.7,105
240503,220000,2345.6,28
240503,230000,2345.7,192
240506,90000,2356.5,566
240506,100000,2366,543
240506,110000,2359,283
240506,120000,2362.5,138
240506,130000,2361.1,65
240506,140000,2359.7,134
240506,150000,2365.6,297
240506,160000,2368,234
240506,170000,2363.7,148
240506,180000,2367.5,92
240506,190000,2367.8,156
240506,200000,2368.8,231
240506,210000,2368,39
240506,220000,2369,50
240506,230000,2369.3,35
240507,90000,2363.2,95
240507,100000,2361.9,151
240507,110000,2359,223
240507,120000,2358.4,39
240507,130000,2360.3,48
240507,140000,2357.6,90
240507,150000,2359.7,97
240507,160000,2361.5,259
240507,170000,2357.1,44
240507,180000,2355.9,129
240507,190000,2354.9,133
240507,200000,2355.1,159
240507,210000,2355.7,38
240507,220000,2356,170
240507,230000,2355.8,34
240508,90000,2355.4,121
240508,100000,2351.6,442
240508,110000,2350.1,296
240508,120000,2351.7,168
240508,130000,2355.5,124
240508,140000,2353.5,173
240508,150000,2353.4,207
240508,160000,2350.9,382
240508,170000,2356.3,140
240508,180000,2358.2,102
240508,190000,2356.1,49
240508,200000,2354.2,23
240508,210000,2353.8,46
240508,220000,2350.3,75
240508,230000,2350.7,26
240510,90000,2400.5,1057
240510,100000,2399,523
240510,110000,2401.1,233
240510,120000,2402.2,293
240510,130000,2403.4,288
240510,140000,2401.5,150
240510,150000,2398.4,274
240510,160000,2399.3,221
240510,170000,2395.1,246
240510,180000,2397.6,225
240510,190000,2400.2,177
240510,200000,2400.8,72
240510,210000,2401.5,47
240510,220000,2397.2,52
240510,230000,2397.3,70
240513,90000,2385.2,477
240513,100000,2384,1001
240513,110000,2379.6,864
240513,120000,2375.3,323
240513,130000,2378.8,161
240513,140000,2380.8,369
240513,150000,2382.1,270
240513,160000,2376.7,815
240513,170000,2377.8,784
240513,180000,2369.5,716
240513,190000,2372.8,116
240513,200000,2371.7,90
240513,210000,2372.3,35
240513,220000,2373.2,27
240513,230000,2371.7,24
240514,90000,2373.4,257
240514,100000,2372.1,192
240514,110000,2379,380
240514,120000,2379.6,2428
240514,130000,2380,574
240514,140000,2376.3,1259
240514,150000,2380,850
240514,160000,2383.4,202
240514,170000,2383,342
240514,180000,2381.4,74
240514,190000,2384.9,151
240514,200000,2386.1,42
240514,210000,2387.2,130
240514,220000,2385.2,160
240514,230000,2387.5,24
240515,90000,2387.5,108
240515,100000,2386.4,1833
240515,110000,2392.5,2416
240515,120000,2392.6,1146
240515,130000,2389.2,433
240515,140000,2388.2,378
240515,150000,2393.8,1040
240515,160000,2382,1076
240515,170000,2394,980
240515,180000,2399.3,910
240515,190000,2403.9,430
240515,200000,2410.8,390
240515,210000,2406,334
240515,220000,2409,128
240515,230000,2409.1,42
240516,90000,2407.2,407
240516,100000,2407.8,296
240516,110000,2404.2,251
240516,120000,2404.8,118
240516,130000,2405,232
240516,140000,2405,111
240516,150000,2404.4,667
240516,160000,2398.9,530
240516,170000,2396.4,1589
240516,180000,2404.9,160
240516,190000,2404.5,183
240516,200000,2403.1,45
240516,210000,2403,53
240516,220000,2401.8,34
240516,230000,2401,176
240517,90000,2408.1,381
240517,100000,2405,197
240517,110000,2406.3,121
240517,120000,2405.2,64
240517,130000,2406.2,345
240517,140000,2411,291
240517,150000,2414.8,457
240517,160000,2416.7,722
240517,170000,2428,673
240517,180000,2427,502
240517,190000,2426.9,202
240517,200000,2431.8,276
240517,210000,2434.7,333
240517,220000,2433,200
240517,230000,2432.2,183
240520,90000,2454.2,1837
240520,100000,2452.8,791
240520,110000,2454.6,640
240520,120000,2457.3,508
240520,130000,2449.6,675
240520,140000,2445.7,879
240520,150000,2435.6,1090
240520,160000,2440.2,540
240520,170000,2445.5,441
240520,180000,2446.3,310
240520,190000,2447.7,83
240520,200000,2455.6,569
240520,210000,2454.1,242
240520,220000,2447.8,119
240520,230000,2446,68
240521,90000,2433,529
240521,100000,2440.6,408
240521,110000,2441.7,689
240521,120000,2438,290
240521,130000,2440.7,207
240521,140000,2444.7,153
240521,150000,2446.9,430
240521,160000,2448.7,780
240521,170000,2451,131
240521,180000,2445.9,605
240521,190000,2444.1,129
240521,200000,2441.9,171
240521,210000,2443.1,61
240521,220000,2443.8,138
240521,230000,2443.4,12
240522,90000,2438.5,256
240522,100000,2439.8,327
240522,110000,2440.2,289
240522,120000,2442.2,164
240522,130000,2437.8,212
240522,140000,2432.3,450
240522,150000,2434.6,1019
240522,160000,2434.7,235
240522,170000,2410.5,2638
240522,180000,2410.2,747
240522,190000,2413,269
240522,200000,2407.9,341
240522,210000,2400.4,670
240522,220000,2402.5,407
240522,230000,2400.6,70
240523,90000,2388.8,1045
240523,100000,2382,351
240523,110000,2385,301
240523,120000,2384.8,209
240523,130000,2388.6,115
240523,140000,2388.5,123
240523,150000,2386,261
240523,160000,2380,758
240523,170000,2370.5,876
240523,180000,2369.9,674
240523,190000,2365.2,511
240523,200000,2355.4,559
240523,210000,2358.4,433
240523,220000,2355.5,292
240523,230000,2351.3,253
240524,90000,2360.7,486
240524,100000,2362.9,1312
240524,110000,2362.5,316
240524,120000,2361,174
240524,130000,2363.6,274
240524,140000,2361.5,278
240524,150000,2362.6,227
240524,160000,2360.4,448
240524,170000,2361.2,362
240524,180000,2359.7,201
240524,190000,2359.2,247
240524,200000,2355.4,148
240524,210000,2358.1,116
240524,220000,2358,49
240524,230000,2359.7,39
240527,90000,2365.9,399
240527,100000,2364,419
240527,110000,2368.5,509
240527,120000,2367.2,92
240527,130000,2368.9,79
240527,140000,2368.2,67
240527,150000,2371,358
240527,160000,2376.3,506
240527,170000,2376,820
240527,180000,2375,232
240527,190000,2376.7,192
240527,200000,2376.9,75
240527,210000,2374.2,184
240527,220000,2374,14
240527,230000,2375.4,88
240528,90000,2363.2,463
240528,100000,2366.4,199
240528,110000,2366.4,508
240528,120000,2368.1,160
240528,130000,2368.9,110
240528,140000,2372.9,150
240528,150000,2378,907
240528,160000,2381,2021
240528,170000,2383.9,1645
240528,180000,2388.7,471
240528,190000,2384.3,209
240528,200000,2384,223
240528,210000,2384.8,93
240528,220000,2386.2,149
240528,230000,2387.7,36
240529,90000,2382,223
240529,100000,2376.9,440
240529,110000,2373,181
240529,120000,2375.8,1016
240529,130000,2375.9,186
240529,140000,2369.8,382
240529,150000,2366,522
240529,160000,2371.3,419
240529,170000,2368.5,247
240529,180000,2366.4,525
240529,190000,2367.3,193
240529,200000,2368.6,143
240529,210000,2363.6,74
240529,220000,2363.3,246
240529,230000,2363.4,76
240530,90000,2358.7,1097
240530,100000,2358.5,363
240530,110000,2361.5,410
240530,120000,2359.2,241
240530,130000,2365.5,673
240530,140000,2364.1,383
240530,150000,2369.7,704
240530,160000,2374.8,606
240530,170000,2369.4,767
240530,180000,2368.4,296
240530,190000,2373,210
240530,200000,2369.6,194
240530,210000,2368.3,439
240530,220000,2367.8,96
240530,230000,2368.7,65
240531,90000,2371.9,416
240531,100000,2368.8,662
240531,110000,2372,164
240531,120000,2370.6,243
240531,130000,2372,251
240531,140000,2372.6,186
240531,150000,2383.8,1173
240531,160000,2377.6,1070
240531,170000,2362.5,2029
240531,180000,2358.2,1117
240531,190000,2359.4,575
240531,200000,2353.5,570
240531,210000,2350.5,474
240531,220000,2353.9,461
240531,230000,2356,416
240603,90000,2345.5,2148
240603,100000,2349.7,1308
240603,110000,2352.2,608
240603,120000,2356.5,1044
240603,130000,2361.4,1422
240603,140000,2359.4,498
240603,150000,2362.3,729
240603,160000,2361.6,665
240603,170000,2368,1097
240603,180000,2368.3,375
240603,190000,2375.3,906
240603,200000,2373.6,745
240603,210000,2373.6,215
240603,220000,2371,458
240603,230000,2375.5,148
240604,90000,2369.4,430
240604,100000,2367,823
240604,110000,2362.6,929
240604,120000,2359.9,907
240604,130000,2358,715
240604,140000,2356.4,639
240604,150000,2366,953
240604,160000,2352.2,1555
240604,170000,2348.1,2362
240604,180000,2355.1,543
240604,190000,2350.9,319
240604,200000,2355.8,156
240604,210000,2355.5,184
240604,220000,2355.3,77
240604,230000,2354.4,280
240605,90000,2360.6,796
240605,100000,2359.2,566
240605,110000,2359.2,309
240605,120000,2359.9,308
240605,130000,2361,232
240605,140000,2361.5,1562
240605,150000,2371,1480
240605,160000,2372,910
240605,170000,2375.1,1186
240605,180000,2382,1065
240605,190000,2378.2,418
240605,200000,2381.6,168
240605,210000,2382.5,462
240605,220000,2380.8,184
240605,230000,2382,96
240606,90000,2391.6,973
240606,100000,2388.8,524
240606,110000,2390,317
240606,120000,2388.4,877
240606,130000,2389.2,240
240606,140000,2387.5,148
240606,150000,2385.3,630
240606,160000,2392.7,2463
240606,170000,2394.8,581
240606,180000,2407.5,2030
240606,190000,2403.5,1005
240606,200000,2405,702
240606,210000,2405.6,423
240606,220000,2405.8,275
240606,230000,2408.3,698
240607,90000,2408,810
240607,100000,2404.9,676
240607,110000,2384.6,4088
240607,120000,2375.3,1555
240607,130000,2367.9,1625
240607,140000,2374.7,1728
240607,150000,2356.9,3562
240607,160000,2347.5,3714
240607,170000,2350,1534
240607,180000,2343.8,1065
240607,190000,2346.5,1460
240607,200000,2340,860
240607,210000,2333,1221
240607,220000,2320.2,1206
240607,230000,2327.1,1085
240610,90000,2325.8,2502
240610,100000,2330.6,1067
240610,110000,2330.8,3016
240610,120000,2336.4,1363
240610,130000,2340.4,1073
240610,140000,2351.7,3514
240610,150000,2352.6,2055
240610,160000,2352.2,1898
240610,170000,2351,865
240610,180000,2354.4,884
240610,190000,2360.8,1384
240610,200000,2359,738
240610,210000,2357.1,350
240610,220000,2355.9,135
240610,230000,2355.5,278
240611,90000,2349.8,1104
240611,100000,2353.1,663
240611,110000,2357.5,1067
240611,120000,2355.7,1708
240611,130000,2357.5,1177
240611,140000,2356.7,1594
240611,150000,2368.3,2776
240611,160000,2366.3,1734
240611,170000,2368.6,3139
240611,180000,2364.9,2809
240611,190000,2362.9,836
240611,200000,2366.5,412
240611,210000,2367.7,424
240611,220000,2368,337
240611,230000,2369.9,733
240613,100000,2364.9,5546
240613,110000,2362.5,4241
240613,120000,2364.2,1664
240613,130000,2364.7,1256
240613,140000,2354.6,5917
240613,150000,2367.8,8296
240613,160000,2354.5,15330
240613,170000,2357.8,2420
240613,180000,2348.6,2253
240613,190000,2342,2220
240613,200000,2345,1163
240613,210000,2347.4,714
240613,220000,2347,278
240613,230000,2348.1,235
240614,100000,2358.6,2998
240614,110000,2360.5,2854
240614,120000,2364.2,2587
240614,130000,2374.3,3713
240614,140000,2375.7,3021
240614,150000,2375,2540
240614,160000,2375,3068
240614,170000,2376.4,2894
240614,180000,2373.5,1411
240614,190000,2375,793
240614,200000,2378.9,1109
240614,210000,2380.2,843
240614,220000,2376.9,1471
240614,230000,2377.5,790
240617,100000,2366.4,7507
240617,110000,2371.6,3280
240617,120000,2371.6,3592
240617,130000,2373.1,1723
240617,140000,2370.6,3374
240617,150000,2372.8,5909
240617,160000,2375.5,6749
240617,170000,2379.6,4202
240617,180000,2366.9,5200
240617,190000,2371.8,1918
240617,200000,2371.3,1227
240617,210000,2373.9,945
240617,220000,2374.6,521
240617,230000,2374.1,295
240618,100000,2371.3,2339
240618,110000,2366.9,6951
240618,120000,2368.3,3512
240618,130000,2365.2,5672
240618,140000,2373,5386
240618,150000,2377.1,11737
240618,160000,2389.4,8957
240618,170000,2386,3490
240618,180000,2389.6,4441
240618,190000,2391,1863
240618,200000,2391.1,2617
240618,210000,2391.9,1055
240618,220000,2391,1034
240618,230000,2391.1,417
240619,100000,2391.7,8368
240619,110000,2393.9,5969
240619,120000,2389,6832
240619,130000,2386.2,10426
240619,140000,2391.3,5135
240619,150000,2387.5,10681
240619,160000,2387.2,2212
240619,170000,2385.7,1912
240619,180000,2387.1,2813
240619,190000,2389.2,1845
240619,200000,2389.8,721
240619,210000,2388,744
240619,220000,2386.5,694
240619,230000,2385.7,303
240620,100000,2391.1,19314
240620,110000,2391.5,12286
240620,120000,2395.1,7956
240620,130000,2401.8,14007
240620,140000,2398.2,8269
240620,150000,2398,11356
240620,160000,2408,11406
240620,170000,2422,28278
240620,180000,2418.1,19940
240620,190000,2415.6,8181
240620,200000,2417.8,4200
240620,210000,2418.7,4891
240620,220000,2419,2004
240620,230000,2416.1,3188
240621,100000,2420.9,14435
240621,110000,2421.3,14050
240621,120000,2426,11623
240621,130000,2425.8,7011
240621,140000,2429.3,10637
240621,150000,2422.1,16463
240621,160000,2404.9,34350
240621,170000,2398.8,34527
240621,180000,2397.9,19997
240621,190000,2392.2,9974
240621,200000,2385.7,16747
240621,210000,2389.5,5689
240621,220000,2386.8,5656
240621,230000,2385.5,2660
240624,100000,2397.8,15432
240624,110000,2393.8,10478
240624,120000,2388.7,13807
240624,130000,2389.5,14460
240624,140000,2389.2,8834
240624,150000,2390.9,10169
240624,160000,2389.6,14017
240624,170000,2392.3,7667
240624,180000,2388.7,6676
240624,190000,2393.7,6426
240624,200000,2391.8,3091
240624,210000,2393.3,1847
240624,220000,2391.2,2266
240624,230000,2391.9,1519
240625,100000,2385.5,10014
240625,110000,2389.9,6903
240625,120000,2393.1,5643
240625,130000,2393.6,9412
240625,140000,2389,9219
240625,150000,2385.4,10199
240625,160000,2384.5,19338
240625,170000,2387.9,17841
240625,180000,2384.5,10906
240625,190000,2376,13468
240625,200000,2376.3,11540
240625,210000,2377.3,4939
240625,220000,2378.7,3087
240625,230000,2378.5,2132
240626,100000,2373.6,16002
240626,110000,2372,7707
240626,120000,2373,4545
240626,130000,2363.4,16142
240626,140000,2371,21000
240626,150000,2365.8,16734
240626,160000,2357,26919
240626,170000,2357,14646
240626,180000,2361,11558
240626,190000,2358.8,6281
240626,200000,2360.1,3857
240626,210000,2357.2,2980
240626,220000,2358,3150
240626,230000,2357,1275
240627,100000,2360.7,9945
240627,110000,2368.5,17910
240627,120000,2371.5,10260
240627,130000,2373.3,17235
240627,140000,2378.1,18203
240627,150000,2381.6,39777
240627,160000,2382.5,17588
240627,170000,2386.8,19531
240627,180000,2384,13049
240627,190000,2383.4,7687
240627,200000,2384.2,5314
240627,210000,2385.3,3356
240627,220000,2385.5,2694
240627,230000,2387.8,2178
240628,100000,2388.5,14284
240628,110000,2392,20036
240628,120000,2393.8,10758
240628,130000,2401.5,27134
240628,140000,2397.9,8087
240628,150000,2400,23491
240628,160000,2392.4,30403
240628,170000,2388,18215
240628,180000,2392.1,12758
240628,190000,2391.5,12668
240628,200000,2388.7,9574
240628,210000,2388.2,4559
240628,220000,2389.5,5117
240628,230000,2390.8,3096
240701,100000,2386.9,10839
240701,110000,2390.5,4865
240701,120000,2395.1,20316
240701,130000,2399.2,5453
240701,140000,2404,12457
240701,150000,2395.5,13295
240701,160000,2393.3,16810
240701,170000,2392.5,16787
240701,180000,2394.4,6697
240701,190000,2393.6,4366
240701,200000,2394.4,1740
240701,210000,2396.8,2693
240701,220000,2397.4,1571
240701,230000,2398,2993
240702,100000,2396.8,11202
240702,110000,2395.4,6298
240702,120000,2391.5,9978
240702,130000,2390.5,7020
240702,140000,2384.5,13480
240702,150000,2391.2,11200
240702,160000,2397.3,14751
240702,170000,2390.4,15984
240702,180000,2388.5,7188
240702,190000,2387.8,7889
240702,200000,2388.9,3911
240702,210000,2391.8,2668
240702,220000,2393.5,1437
240702,230000,2394,2064
240703,100000,2409.1,26252
240703,110000,2408,11929
240703,120000,2410.6,7208
240703,130000,2410.1,8541
240703,140000,2410.4,7407
240703,150000,2416,21919
240703,160000,2418.3,17471
240703,170000,2423.4,23293
240703,180000,2423.7,8643
240703,190000,2416.8,10169
240703,200000,2417.8,6936
240703,210000,2418.4,2446
240703,220000,2417.2,2763
240703,230000,2420.3,2401
240704,100000,2419.5,6814
240704,110000,2422.2,8327
240704,120000,2419.4,3764
240704,130000,2421,4318
240704,140000,2421.3,5108
240704,150000,2420.2,3789
240704,160000,2422.1,2489
240704,170000,2422,10283
240704,180000,2420,5528
240704,190000,2420.2,2082
240704,200000,2418.1,1157
240704,210000,2417.8,1570
240704,220000,2418.6,1489
240704,230000,2420.3,659
240705,100000,2428.5,13788
240705,110000,2429.7,10290
240705,120000,2425.2,5504
240705,130000,2427.7,6080
240705,140000,2424.9,13367
240705,150000,2429.5,43757
240705,160000,2440.9,34995
240705,170000,2437.1,18688
240705,180000,2440.5,10958
240705,190000,2443.7,6499
240705,200000,2443.1,7791
240705,210000,2446.8,5887
240705,220000,2446,4304
240705,230000,2447.3,3488
240708,100000,2438.8,14862
240708,110000,2433.1,10201
240708,120000,2431.2,10404
240708,130000,2437.4,6993
240708,140000,2437.9,8079
240708,150000,2436.2,10891
240708,160000,2438.4,8295
240708,170000,2436,8244
240708,180000,2418.2,20294
240708,190000,2421,14692
240708,200000,2419.4,5073
240708,210000,2418.4,4389
240708,220000,2420.7,2494
240708,230000,2420,1373
240709,100000,2418.5,9168
240709,110000,2422.2,6996
240709,120000,2425.1,7311
240709,130000,2422.2,6473
240709,140000,2418.8,7538
240709,150000,2418.6,7717
240709,160000,2425.5,9199
240709,170000,2412.9,21732
240709,180000,2416.1,18894
240709,190000,2415,6434
240709,200000,2419.3,3786
240709,210000,2420.7,4796
240709,220000,2419.6,1863
240709,230000,2423.4,1981
240710,100000,2428.8,15802
240710,110000,2428.8,5287
240710,120000,2429.5,5781
240710,130000,2428.7,5301
240710,140000,2435.7,7638
240710,150000,2433.6,11644
240710,160000,2437.9,13833
240710,170000,2427.9,13462
240710,180000,2433.4,7068
240710,190000,2432.4,5534
240710,200000,2428,8109
240710,210000,2428.2,4315
240710,220000,2428,2391
240710,230000,2428.1,4742
240711,100000,2433.3,8725
240711,110000,2435.1,5184
240711,120000,2436.9,3831
240711,130000,2435.5,3299
240711,140000,2434.5,4542
240711,150000,2456.8,46126
240711,160000,2457.3,38840
240711,170000,2465.2,24087
240711,180000,2466.1,37401
240711,190000,2458.7,16988
240711,200000,2462,9707
240711,210000,2464.9,3402
240711,220000,2463.7,4356
240711,230000,2462.6,4146
240712,100000,2454.8,20169
240712,110000,2459.4,7214
240712,120000,2456.7,7055
240712,130000,2451.5,5722
240712,140000,2453,5634
240712,150000,2446.4,27872
240712,160000,2454.3,15582
240712,170000,2458.7,17883
240712,180000,2462,11381
240712,190000,2464.9,5964
240712,200000,2467.7,6949
240712,210000,2463.3,5184
240712,220000,2461.7,3640
240712,230000,2462.2,2862
